"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",100.5,89.6,112.9
"1951-01-01 00:00:00",95.5,78.3,114.4
"1952-01-01 00:00:00",96,86.9,122
"1953-01-01 00:00:00",97.5,83.1,108.7
"1954-01-01 00:00:00",97.5,84.3,112.7
"1955-01-01 00:00:00",104,87.3,113.7
"1956-01-01 00:00:00",101,83.3,112.4
"1957-01-01 00:00:00",98,85.3,109
"1958-01-01 00:00:00",101,89.3,117
"1959-01-01 00:00:00",104,86.2,120.4
"1960-01-01 00:00:00",104,91.9,113.7
"1961-01-01 00:00:00",105.5,91.6,118.8
"1962-01-01 00:00:00",100.5,90.9,124.9
"1963-01-01 00:00:00",103.5,91.3,114
"1964-01-01 00:00:00",102.5,90.3,117.7
"1965-01-01 00:00:00",100,85.6,120.5
"1966-01-01 00:00:00",100,84.3,119.4
"1967-01-01 00:00:00",103,83.9,110
"1968-01-01 00:00:00",102,81.3,118.1
"1969-01-01 00:00:00",99,90.3,113.7
"1970-01-01 00:00:00",102,87.8,113.4
"1971-01-01 00:00:00",99.5,91.9,118.4
"1972-01-01 00:00:00",98.5,88.3,108
"1973-01-01 00:00:00",100,91,110.7
"1974-01-01 00:00:00",102.5,87.9,120
"1975-01-01 00:00:00",95,75,108.1
"1976-01-01 00:00:00",98.5,86.3,112.1
"1977-01-01 00:00:00",101,85.2,111.1
"1978-01-01 00:00:00",94,85.3,108.4
"1979-01-01 00:00:00",105.5,85.3,117.6
"1980-01-01 00:00:00",103,84.6,120.4
"1981-01-01 00:00:00",98.5,84.9,114.4
"1982-01-01 00:00:00",108.5,90.6,118.7
"1983-01-01 00:00:00",100.5,86.5,112
"1984-01-01 00:00:00",98,79.3,112.5
"1985-01-01 00:00:00",95.5,86.3,106.4
"1986-01-01 00:00:00",100,80.3,110.8
"1987-01-01 00:00:00",101.5,84.5,111
"1988-01-01 00:00:00",102.5,90.6,115.8
"1989-01-01 00:00:00",99,86.3,113.5
"1990-01-01 00:00:00",106,86.3,126.8
"1991-01-01 00:00:00",103.5,91.6,116.5
"1992-01-01 00:00:00",101,87.9,115.7
"1993-01-01 00:00:00",96.5,80.8,114.7
"1994-01-01 00:00:00",100.5,91.3,111.1
"1995-01-01 00:00:00",102,85.8,118.8
"1996-01-01 00:00:00",93.5,84.2,111.5
"1997-01-01 00:00:00",100,79.8,117
"1998-01-01 00:00:00",96.5,79.5,107.7
"1999-01-01 00:00:00",100.5,88.6,117.4
"2000-01-01 00:00:00",101,86.9,114
"2001-01-01 00:00:00",108,88.5,118.1
"2002-01-01 00:00:00",105.5,88.9,117.7
"2003-01-01 00:00:00",100.5,87.3,119
"2004-01-01 00:00:00",102,91,111.7
"2005-01-01 00:00:00",103,92.6,127.2,103,92.6,127.2,104,93.4,126.2,104.5,93.6,127.2
"2006-01-01 00:00:00",,,,110.5,89,124.8,101,86.6,112.7,100.5,84.9,117.4
"2007-01-01 00:00:00",,,,103.5,90.3,119.7,99.5,83.3,110,105,90.3,114.4
"2008-01-01 00:00:00",,,,107.5,96.6,122,108.5,83.9,119.7,101.5,94,112
"2009-01-01 00:00:00",,,,101,85.6,118.4,105,89.3,121.8,104.5,91,118.7
"2010-01-01 00:00:00",,,,109,88.1,120.8,102,89.9,119.1,98,84.2,115
"2011-01-01 00:00:00",,,,104.5,84.6,119.7,101.5,88,116.1,102,86.3,121.8
"2012-01-01 00:00:00",,,,98.5,89.3,120.4,101,87.3,116.8,102,83.5,116.1
"2013-01-01 00:00:00",,,,104,80.9,120.7,102,79.6,120.7,105,88.8,120.5
"2014-01-01 00:00:00",,,,104,90.6,122.5,103,88.9,112.4,101.5,85.3,118.1
"2015-01-01 00:00:00",,,,103.5,85,115.2,101,86.4,115,104.5,85.6,122.1
"2016-01-01 00:00:00",,,,103,88.2,123.2,100.5,86.6,118.7,102,86.5,118.9
"2017-01-01 00:00:00",,,,98.5,90.3,115.7,106.5,90.3,116.7,98.5,90.6,112
"2018-01-01 00:00:00",,,,102,90.4,118.7,97.5,84.6,107,98.5,84.8,116.1
"2019-01-01 00:00:00",,,,108,91.1,119,101.5,85.3,121.5,91,81.6,115
"2020-01-01 00:00:00",,,,99,87.3,112.1,102,80.9,120.7,98,81.2,113.8
"2021-01-01 00:00:00",,,,106.5,89,124.8,103.5,85.9,117.7,102,87.8,115
"2022-01-01 00:00:00",,,,101.5,89.6,120.9,102,82.2,117.1,100.5,83.9,113
"2023-01-01 00:00:00",,,,102,91.6,116.9,106.5,88.8,122.5,97,87.6,113.4
"2024-01-01 00:00:00",,,,100.5,85.3,120.4,102,87.3,114.7,100.5,84.9,116.5
"2025-01-01 00:00:00",,,,102.5,89.6,112.4,101,89.2,114.7,108.5,83.8,122.7
"2026-01-01 00:00:00",,,,102,88.6,116.7,101.5,88.4,113,104.5,83.3,115.4
"2027-01-01 00:00:00",,,,104.5,91.6,114.5,103.5,94,118.1,105.5,94.9,114.7
"2028-01-01 00:00:00",,,,98.5,88.3,121.4,110,86.9,125.7,101.5,93.5,115.7
"2029-01-01 00:00:00",,,,103,90.2,119.8,110,90.9,127.1,100,88.3,116.4
"2030-01-01 00:00:00",,,,94.5,84.3,115.4,110,91.1,122,103,87.6,115.8
"2031-01-01 00:00:00",,,,110.5,91.2,125.4,103,91.3,119.8,110.5,94.6,123
"2032-01-01 00:00:00",,,,105,88.1,119.5,111,93.3,128.9,99.5,80.8,120.1
"2033-01-01 00:00:00",,,,108,79.2,119.7,101.5,83.7,113.7,100.5,89.6,117.7
"2034-01-01 00:00:00",,,,93,82,110.1,102.5,91,120,103.5,90.8,117.8
"2035-01-01 00:00:00",,,,103,91.6,115,106,93.2,121.8,103.5,87,114
"2036-01-01 00:00:00",,,,97.5,87.6,124.7,104.5,93,124.7,101.5,88.3,124.9
"2037-01-01 00:00:00",,,,109.5,91.3,122.7,103,91.6,114,106,86.1,120.4
"2038-01-01 00:00:00",,,,108,90.3,116.1,107.5,95,125.8,102.5,90.9,114
"2039-01-01 00:00:00",,,,105,92.2,115,105.5,92.9,121.5,104.5,85.3,118.5
"2040-01-01 00:00:00",,,,101.5,86.2,115.8,105,81.3,133.7,102,87.6,115.8
"2041-01-01 00:00:00",,,,101,87.3,119.8,100,88,114.4,100,88.3,119.5
"2042-01-01 00:00:00",,,,105,90.6,122.1,101,89.3,123.4,105.5,88,125.7
"2043-01-01 00:00:00",,,,104.5,90.3,127,93.5,86,113.9,103.5,88.6,124.5
"2044-01-01 00:00:00",,,,106,87,121,103.5,88.8,123,106.5,97.9,119.4
"2045-01-01 00:00:00",,,,106,91.9,112.7,104.5,87.6,126.4,99.5,90,122.7
"2046-01-01 00:00:00",,,,109,88.4,123.5,104,87.1,122.7,105,91.1,113
"2047-01-01 00:00:00",,,,103.5,83.2,125.5,100,83.6,121.4,103,92.3,119.9
"2048-01-01 00:00:00",,,,105.5,92,118.7,103.5,82.6,116.4,100.5,86.3,121.2
"2049-01-01 00:00:00",,,,110,90.3,121.4,106,87.9,117.1,97,82.1,125.3
"2050-01-01 00:00:00",,,,104,81.2,125.7,109.5,86.5,128.1,101,86.3,116.6
"2051-01-01 00:00:00",,,,105.5,81.6,118.7,102,87.6,120.8,100.5,88.2,118.1
"2052-01-01 00:00:00",,,,95,84.6,123.8,104,88.2,113.7,101,76.2,119.7
"2053-01-01 00:00:00",,,,106,88.3,118.7,106,81.1,117.2,101,85,118
"2054-01-01 00:00:00",,,,103.5,87.5,120,108.5,88.3,122.4,107,92.5,121
"2055-01-01 00:00:00",,,,99,89.6,117,105.5,96.3,114,105,95,120.8
"2056-01-01 00:00:00",,,,109,87.2,116.7,102.5,94,119.7,101.5,80.2,113.4
"2057-01-01 00:00:00",,,,103.5,88.3,122,107,94,120.7,105,87.3,121.1
"2058-01-01 00:00:00",,,,104.5,85.7,114.4,105.5,91.3,123.4,107.5,93,121.1
"2059-01-01 00:00:00",,,,109,93.9,130.1,108.5,90.3,119.4,103.5,88.9,118.1
"2060-01-01 00:00:00",,,,99.5,83.6,115.4,106.5,90.3,129.7,109.5,91.3,122.4
"2061-01-01 00:00:00",,,,103.5,87.8,117.5,107,89.6,130.4,107,91,122.5
"2062-01-01 00:00:00",,,,108,92.5,120.4,108,85,118.7,105,92.6,120.8
"2063-01-01 00:00:00",,,,108,92.2,120.4,101.5,84.2,123.7,104.5,85.6,122.3
"2064-01-01 00:00:00",,,,103.5,89.8,114.9,106,90.2,115.8,107.5,90.2,116
"2065-01-01 00:00:00",,,,97.5,90,113.1,109,93.3,120,102,87.6,121.7
"2066-01-01 00:00:00",,,,103,93.3,115.4,105,82,119.7,101,84.6,119.4
"2067-01-01 00:00:00",,,,116.5,91.6,127.7,105,88.3,120.4,100.5,89,124.7
"2068-01-01 00:00:00",,,,101,94,113.7,108,87.3,117.5,107,94.3,125.7
"2069-01-01 00:00:00",,,,105.5,94.2,117.7,105,84.8,115.8,106.5,86.1,127.8
"2070-01-01 00:00:00",,,,105.5,89.3,120.6,106,97.3,123.7,106.5,91.8,124.7
"2071-01-01 00:00:00",,,,100,83.8,120.7,98.5,84.3,122.1,100.5,86.3,125.1
"2072-01-01 00:00:00",,,,100.5,87,119,110.5,97.9,126.4,112,86.5,117
"2073-01-01 00:00:00",,,,101,90.6,117.1,102,88.4,120.4,99,84.9,113.7
"2074-01-01 00:00:00",,,,106.5,89.3,117.7,106.5,92,126.6,110.5,97.3,129
"2075-01-01 00:00:00",,,,104,87.3,120.7,99,84.6,120.4,108,92.3,121
"2076-01-01 00:00:00",,,,104,82,118.7,106,90.5,115.7,103,91.6,124.5
"2077-01-01 00:00:00",,,,105,94.6,126.1,101.5,86.6,116.1,102.5,86.3,127.7
"2078-01-01 00:00:00",,,,108,91.1,134.7,97.5,76.7,117.9,106,92,124.4
"2079-01-01 00:00:00",,,,106.5,86.2,116.7,99.5,87,113.1,101.5,86.6,125.4
"2080-01-01 00:00:00",,,,99,85.9,114.2,102.5,90,119,101.5,82.9,123.4
"2081-01-01 00:00:00",,,,105,85.7,118.8,105,93.9,124.7,105,90.3,118.8
"2082-01-01 00:00:00",,,,102.5,93,123.7,107,94.9,132,100.5,82.1,127.1
"2083-01-01 00:00:00",,,,99.5,84.9,121.4,106,90.5,117.4,108,90.3,122.1
"2084-01-01 00:00:00",,,,98,89.3,121.8,103.5,81.6,119.9,103,88.3,124.4
"2085-01-01 00:00:00",,,,106,87.9,119.8,107,88.9,122.7,100,84.3,116.8
"2086-01-01 00:00:00",,,,101,90.3,121.4,101.5,83.8,116.7,103,88,123.1
"2087-01-01 00:00:00",,,,102.5,86.6,126.9,107.5,86.2,120.7,108.5,85.8,125.8
"2088-01-01 00:00:00",,,,103,88.6,113,105,88.3,120.4,102.5,89.3,113.7
"2089-01-01 00:00:00",,,,109,91.9,121.4,105.5,90.2,119.5,102,88.6,118
"2090-01-01 00:00:00",,,,103.5,92,119.6,107,89.9,124.7,107.5,84.3,120.1
"2091-01-01 00:00:00",,,,107,83.6,122,106,93.2,117.7,101,81,123.8
"2092-01-01 00:00:00",,,,107.5,89.2,118,103.5,84.3,115.7,108,94.3,121.5
"2093-01-01 00:00:00",,,,107,95.6,119.7,114,97.9,129.4,106.5,76.6,123.4
"2094-01-01 00:00:00",,,,102.5,88.4,121.7,103,92.6,119.4,108.5,88,123.4
"2095-01-01 00:00:00",,,,106.5,84.6,119.8,109.5,89.1,120,100.5,88.3,116.4
"2096-01-01 00:00:00",,,,103,89.5,117.4,99.5,81,116,106,87.6,133
"2097-01-01 00:00:00",,,,102,85.5,116.6,105,83.6,137.9,103,87,120.7
"2098-01-01 00:00:00",,,,101.5,87.6,121.4,108,92.2,128.3,110,81.7,122.4
"2099-01-01 00:00:00",,,,109.5,91.8,122,105.5,85,118.4,105,86.6,129.4
"2100-01-01 00:00:00",,,,104.5,91.9,121.2,107,90.5,118.6,115,97.2,127.8